archive_dir	filename	path	size_bytes	sha256
support_how_unclassified	20260307T144505Z_acceptance_report.json	/workspaces/omoc-wt-full/docs/_archive/support_how_unclassified/20260307T144505Z_acceptance_report.json	5799	5615daddf8f0687009616949e1567d77292c753a9b4c7163427ec1d7239b3cd7
support_how_unclassified	20260308T052442Z_FULL_OMOC_COMPLETION_EVIDENCE.md	/workspaces/omoc-wt-full/docs/_archive/support_how_unclassified/20260308T052442Z_FULL_OMOC_COMPLETION_EVIDENCE.md	7535	ff2456a0ab1ab6ee22ad3c369690597cb18500964e4cf9308c922f31c1bc81eb
support_how_unclassified	20260308T052442Z_FULL_OMOC_COMPLETION_INDEX.json	/workspaces/omoc-wt-full/docs/_archive/support_how_unclassified/20260308T052442Z_FULL_OMOC_COMPLETION_INDEX.json	4227	94e966870ba94bc52abec28861273b74f50e450a047e2635cc8ae093490009a9
support_how_unclassified	20260309T115405Z_acceptance_report.json	/workspaces/omoc-wt-full/docs/_archive/support_how_unclassified/20260309T115405Z_acceptance_report.json	732	c1c8bc99fa2df74aae7aa08fd68f76276b1a14f1a395889f8e33c9c7f574a911
support_how_unclassified	20260309T115405Z_evidence_upload.txt	/workspaces/omoc-wt-full/docs/_archive/support_how_unclassified/20260309T115405Z_evidence_upload.txt	406	48ac074860747a8c3d52535b0fd8bd2d53e322a6238a257fddb5ab5b9aaea4c4
support_how_unclassified	OMOC_總體RIP修補方案.md	/workspaces/omoc-wt-full/docs/_archive/support_how_unclassified/OMOC_總體RIP修補方案.md	28471	77842d43a84ba284eac97c39b83f17c5735880b7673407a117a6f578c840fcf6
support_how_unclassified	SPINE_COMPLETION_MASTER_EVIDENCE.json	/workspaces/omoc-wt-full/docs/_archive/support_how_unclassified/SPINE_COMPLETION_MASTER_EVIDENCE.json	8146	69b4b3f401141e80da8cb7e23174f9863473212c7cf6bb8ae38b5eb995674ea2
support_how_unclassified	SPINE_COMPLETION_MASTER_EVIDENCE.md	/workspaces/omoc-wt-full/docs/_archive/support_how_unclassified/SPINE_COMPLETION_MASTER_EVIDENCE.md	13135	b21ac008f20e49de9517bf51bd0cb2c8a274abd1f4659bcd7d3bec37d1da8483
support_how_unclassified	Spartoi-OMOC_LBP-A(SIR) v8.1.1-r1.md	/workspaces/omoc-wt-full/docs/_archive/support_how_unclassified/Spartoi-OMOC_LBP-A(SIR) v8.1.1-r1.md	46911	68989b89703863f0e3e31edac9777a583be4376f9bc65181ed55433976abcdbf
support_how_unclassified	Spartoi-OMOC_LBP-B(ICD)v8.1.1-r2.md	/workspaces/omoc-wt-full/docs/_archive/support_how_unclassified/Spartoi-OMOC_LBP-B(ICD)v8.1.1-r2.md	44970	8281f2d146a099ea5e81ed5565e060063ede5ba572dbcfebd926a630651551b5
support_how_unclassified	Spartoi-OMOC_LBP-C(ADR) v8.1.1-r2.md	/workspaces/omoc-wt-full/docs/_archive/support_how_unclassified/Spartoi-OMOC_LBP-C(ADR) v8.1.1-r2.md	83255	0090a80aa2d7d18f7ff2a8f8eb7bd0cb2d18f2c3afb324f589977f7866464d2d
support_how_unclassified	Spartoi-OMOC_LBP-D(C4) v8.1.1-r2.md	/workspaces/omoc-wt-full/docs/_archive/support_how_unclassified/Spartoi-OMOC_LBP-D(C4) v8.1.1-r2.md	37768	ec9bfd9b796d5c00386e16dcbeeb42045fa32436c67d9032ea2ebbceaaf05d2b
